,auc,loss,val_auc,val_loss,lr
0,0.742647647857666,0.24972835183143616,0.7899574041366577,0.23886556923389435,0.0010000000474974513
1,0.796038806438446,0.21894793212413788,0.8292471766471863,0.21058116853237152,0.0010000000474974513
2,0.8338639736175537,0.2034335434436798,0.8532912135124207,0.199740469455719,0.0010000000474974513
3,0.8633084893226624,0.1899387389421463,0.8923130035400391,0.18082422018051147,0.0010000000474974513
4,0.8859618902206421,0.17938868701457977,0.8869032859802246,0.18279492855072021,0.0010000000474974513
5,0.9046496152877808,0.16833394765853882,0.9044276475906372,0.1686646193265915,0.0010000000474974513
6,0.9101941585540771,0.16102196276187897,0.9165998101234436,0.15583005547523499,0.0010000000474974513
7,0.9188022017478943,0.15510278940200806,0.9263505339622498,0.15336716175079346,0.0010000000474974513
8,0.9261379241943359,0.14825324714183807,0.9110498428344727,0.15395110845565796,0.0010000000474974513
9,0.933334231376648,0.1438252031803131,0.9296391606330872,0.14564958214759827,0.0010000000474974513
10,0.9390397071838379,0.1388304978609085,0.936044454574585,0.14420418441295624,0.0010000000474974513
11,0.9456059336662292,0.13388852775096893,0.9299184083938599,0.15943318605422974,0.0010000000474974513
12,0.9485658407211304,0.1280987560749054,0.935329794883728,0.1506638526916504,0.0010000000474974513
13,0.9523184895515442,0.12541557848453522,0.9234174489974976,0.1515973061323166,0.0010000000474974513
14,0.9657682180404663,0.10878623276948929,0.9455251693725586,0.1388869285583496,0.00010000000474974513
15,0.9679206013679504,0.10169848799705505,0.9435954093933105,0.14023323357105255,0.00010000000474974513
16,0.9721503853797913,0.09722808003425598,0.943599283695221,0.1426975131034851,0.00010000000474974513
17,0.973756730556488,0.09372883290052414,0.9416584968566895,0.14490093290805817,0.00010000000474974513
18,0.9754716157913208,0.09018166363239288,0.9418268203735352,0.14476501941680908,1.0000000656873453e-05
19,0.9768405556678772,0.0889318436384201,0.9422874450683594,0.14497695863246918,1.0000000656873453e-05
